Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
BAMM,Books-A-Million Inc.,Services,"Specialty Retail, Other",USA,28.77,,,,0.06,0.28,4.88,,,,-0.64,-400.00%,,-22.50%,12.00%,-1.80%,-52.00%,0.20%,14.83,4.38,22.10%,12.26%,10.80%,2.50%,2.98%,5.31,-3.00%,-9.00%,-4.30%,1.3,0.1,0.18,0.59,29.00%,-0.30%,-2.00%,-6.73%,-9.35%,-11.01%,-14.91%,-17.80%,-16.02%,1,0.06,4.49%,3.07%,-4.49%,-6.10%,-12.21%,-27.64%,7.57%,-27.64%,7.57%,39.73,7.57%,-4.64%,,24.61,1.39,1.99,2.58%,20174,11/26/2013 16:30
BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,335.06,,10.18,,2.08,0.87,1.14,,3.98%,,-0.13,-135.00%,46.96%,1.40%,12.50%,21.30%,-20.60%,63.30%,27.76,26.46,2.20%,67.91%,73.50%,48.66%,7.34%,9.06,0.00%,0.00%,25.10%,,,0.27,0.27,,10.70%,-0.10%,-1.71%,0.08%,12.70%,-7.65%,-8.35%,-8.21%,1.14,0.23,1.54%,1.80%,-0.23%,5.08%,0.78%,-2.18%,15.24%,-15.53%,26.03%,56.89,0.17%,0.08%,2.3,214.41,0.25,12.1,0.25%,32052,8/4/2014
BANF,BancFirst Corporation,Financial,Regional - Southwest  Banks,USA,988.73,17.42,16.27,1.45,5.39,1.71,0.53,28.01,1.93%,32.40%,3.68,3.90%,5.40%,4.10%,12.00%,-2.20%,14.80%,10.40%,15.42,7.69,0.10%,107.82%,38.40%,3.86%,4.05%,15.76,0.90%,10.30%,23.30%,,,0.05,0.05,,45.60%,31.50%,0.19%,5.62%,9.42%,16.12%,26.30%,15.57%,1.03,1.21,1.31%,1.96%,4.73%,5.21%,12.64%,0.20%,13.12%,0.20%,30.43%,68.81,0.92%,0.19%,2.8,19.79,0.77,64.83,1.11%,8989,7/17/2014 16:30
BANR,Banner Corporation,Financial,Regional - Mid-Atlantic Banks,USA,778.3,15.18,14.62,2.02,4.29,1.37,3.25,11.96,1.81%,22.80%,2.62,-24.10%,2.84%,15.40%,7.50%,-8.00%,44.30%,2.00%,19.57,19.13,2.00%,12.99%,92.60%,0.64%,3.34%,8.21,1.10%,9.30%,23.50%,,,0.14,0.14,,44.80%,28.10%,-1.14%,0.71%,2.00%,-1.78%,16.02%,-10.49%,2.46,0.79,1.47%,1.95%,1.40%,1.86%,0.06%,-1.89%,6.69%,-10.47%,17.81%,55.73,0.55%,0.05%,2.6,77.74,0.7,40.01,0.60%,32048,7/23/2014 16:30
BAP,Credicorp Ltd.,Financial,Money Center Banks,Peru,12684.23,16.62,12.27,0.62,4.66,2.82,1.56,,1.19%,0.00%,9.57,-28.20%,16.72%,9.80%,26.80%,13.60%,301.60%,24.70%,79.76,41.29,23.53%,,66.10%,5.45%,2.33%,3.77,1.60%,15.50%,3.00%,,,2.07,2.07,,40.30%,20.40%,4.54%,5.32%,1.70%,28.37%,38.48%,26.28%,0.61,2.53,1.34%,1.77%,2.09%,2.75%,13.89%,-1.73%,7.13%,-3.64%,37.94%,57.22,-0.95%,-0.09%,2,255.38,0.26,157.37,-1.04%,38751,8/7/2014
BAR,Direxion Daily Gold Bull 3X ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.84%,-6.00%,4.20%,,,-13.67%,,4.58,6.14%,2.43%,-2.25%,-7.62%,-7.01%,-24.57%,877.25%,-24.57%,877.25%,49.19,-0.98%,0.54%,,4.85,0.32,35.08,-0.44%,906,
BARS,Direxion Daily Gold Bear 3X ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93%,3.51%,-7.30%,,,7.33%,,0.46,0.01%,0.01%,6.43%,8.26%,4.17%,0.00%,15.72%,-8.78%,15.72%,69.25,0.00%,0.00%,,0.72,2.12,42.18,0.00%,0,
BAS,"Basic Energy Services, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1030.32,,15.49,,0.78,2.81,10.41,44.41,,,-0.33,-289.40%,185.71%,-20.50%,,4.70%,118.80%,10.40%,43.2,40.7,6.10%,-71.57%,80.10%,14.55%,13.60%,4.74,-2.30%,-10.20%,2.50%,2.4,2.1,2.39,2.51,31.60%,2.80%,-2.70%,-2.25%,-3.71%,-9.28%,1.15%,98.92%,51.14%,2.26,1.01,4.05%,3.62%,-3.50%,-10.69%,1.68%,-22.42%,1.67%,-22.42%,95.19%,38.1,-2.89%,-0.04%,2.4,1167.66,0.63,23.15,-2.94%,436507,7/24/2014 16:30
BASI,Bioanalytical Systems Inc.,Services,Research Services,USA,17.47,,,,0.74,2.08,43.69,,,,-0.06,110.20%,,-2.10%,,-11.90%,-71.40%,7.10%,8.09,6.69,29.07%,0.13%,7.00%,27.46%,0.57%,3.55,-1.60%,-5.00%,5.80%,0.5,0.3,0.04,0.65,34.20%,3.80%,-1.70%,-12.20%,-4.00%,-21.74%,-20.59%,66.15%,-20.30%,3.15,0.09,2.81%,4.37%,-6.02%,-8.97%,-17.21%,-17.55%,7.47%,-43.16%,72.81%,38.11,-0.46%,0.46%,1,10.81,0.17,2.16,0.00%,1091,2/10/2014
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,40067.33,20.84,13.74,2.59,2.45,4.63,21.47,97.02,2.81%,55.40%,3.55,-12.40%,4.38%,3.00%,8.04%,4.30%,-11.20%,16.20%,541.67,540.81,0.10%,22.36%,82.20%,-1.54%,1.71%,4.28,7.60%,23.20%,11.90%,1.6,1,0.87,1.02,48.80%,18.50%,11.90%,-1.37%,-0.58%,2.04%,10.42%,10.22%,8.64%,0.7,0.81,0.87%,0.99%,-0.11%,-0.61%,5.03%,-3.34%,3.76%,-3.34%,21.58%,47.17,0.07%,0.24%,2.4,2168.15,0.78,74.2,0.31%,996240,7/17/2014 8:30
BAXS,"Baxano Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,17.9,,,,0.86,1,7.78,,,,-0.68,22.70%,34.50%,-0.20%,15.00%,-6.00%,53.80%,20.50%,49.73,46.05,0.30%,13.72%,44.70%,3.11%,3.51%,4.94,-68.40%,-117.80%,-87.60%,1.1,0.6,0.59,0.76,71.00%,,,-2.70%,-30.77%,-40.00%,-78.31%,-79.31%,-64.36%,0.28,0.03,3.37%,8.56%,-6.22%,-24.97%,-59.69%,-45.36%,3.03%,-80.40%,3.03%,32.67,1.58%,-1.39%,1.4,327.32,0.36,0.36,0.17%,70259,8/5/2014 16:30
BBBY,Bed Bath & Beyond Inc.,Services,Home Furnishing Stores,USA,13009.62,13.39,11.87,1.45,1.13,3.3,18.25,13.31,,0.00%,4.81,5.00%,8.31%,23.90%,9.21%,9.80%,0.00%,1.70%,201.95,195.83,1.80%,2.89%,92.90%,-1.19%,13.22%,8.02,15.80%,25.20%,26.00%,2,0.6,0,0,39.50%,13.80%,8.70%,0.34%,4.41%,5.42%,-6.33%,-12.66%,-19.78%,0.91,0.9,1.34%,1.38%,2.83%,5.51%,-1.99%,0.39%,18.23%,-19.60%,18.23%,69.13,1.12%,-0.25%,2.8,3227.64,0.46,64.98,0.87%,885530,9/23/2014 16:30
BBCN,"BBCN Bancorp, Inc.",Financial,Money Center Banks,USA,1172.48,13.66,12,1.19,3.95,1.37,2.64,17.58,2.71%,27.50%,1.08,4.00%,6.59%,62.80%,11.50%,11.10%,-3.40%,10.20%,79.49,76.49,4.78%,,85.60%,-0.32%,2.66%,5.25,1.30%,10.50%,20.80%,,,0.05,0.05,,51.30%,29.00%,-0.14%,1.94%,-4.78%,-14.24%,14.16%,-9.56%,1.74,0.32,2.10%,2.07%,0.83%,-2.27%,-6.11%,-9.58%,3.79%,-18.75%,15.91%,48.44,0.34%,0.00%,1.7,387,0.96,14.8,0.34%,219165,7/21/2014 16:30
BBD,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,77085.98,12.68,11.02,0.72,1.8,2.28,,,5.99%,41.40%,1.46,10.20%,10.16%,12.50%,17.50%,11.00%,25.80%,42.70%,4162.31,2058.25,,,29.60%,-1.02%,0.55%,1.71,,,17.00%,,,,,,19.80%,14.10%,8.11%,19.02%,37.08%,60.21%,62.46%,50.81%,1.7,0.44,2.98%,2.58%,10.55%,16.23%,34.25%,-2.25%,28.43%,-2.25%,81.95%,74.69,0.11%,-1.57%,2.6,6576.26,1.64,18.25,-1.46%,6355424,1/31/2011
BBDO,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,75474,13.12,,,3.11,2.21,,,5.62%,,1.37,,,,,,28.10%,37.40%,4200,2930,,,,,0.00%,18.11,,,,,,,,,,,5.40%,11.61%,29.19%,47.90%,61.02%,30.12%,,0.34,0.92%,0.94%,8.32%,12.34%,25.39%,-1.53%,24.71%,-1.53%,58.82%,68.39,0.00%,0.00%,,1.13,1.41,17.97,0.00%,0,
BBEP,Breitburn Energy Partners L.P.,Basic Materials,Oil & Gas Drilling & Exploration,USA,2763.58,,25.52,,4.62,1.54,307.06,,8.76%,,-1.57,33.90%,600.00%,-15.50%,12.77%,-4.60%,-218.70%,-57.10%,120.47,109.76,0.20%,-16.61%,18.70%,-0.80%,3.64%,6.23,-3.90%,-8.60%,1.10%,0.6,0.5,1.01,1.01,47.40%,-5.30%,-26.70%,2.69%,7.70%,9.19%,19.17%,44.01%,20.23%,0.41,0.35,1.34%,1.34%,2.58%,3.29%,13.11%,-1.60%,10.24%,-1.60%,45.09%,60.15,-0.70%,-0.39%,2.1,641.38,0.81,22.69,-1.09%,306506,8/4/2014
BBF,BlackRock Municipal Income Investment Trust,Financial,Closed-End Fund - Debt,USA,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.66%,2.55%,0.74%,7.13%,17.53%,14.48%,,0.08,0.51%,0.53%,0.39%,0.07%,5.04%,-1.71%,2.50%,-1.71%,18.44%,53.3,-0.35%,-0.07%,,15.45,0.2,13.62,-0.42%,1844,
BBG,Bill Barrett Corp.,Basic Materials,Oil & Gas Drilling & Exploration,USA,1090.09,,44.54,,1.95,1.09,19.54,,,,-4.48,95.30%,2550.00%,-30.20%,,-1.40%,-283.30%,1.90%,49.64,48.92,1.80%,-2.83%,,-2.66%,14.02%,6.91,-8.40%,-21.40%,-4.20%,0.7,0.7,1.15,1.15,77.90%,15.50%,-38.10%,-2.27%,-2.31%,-13.68%,-11.77%,1.43%,-18.00%,1.13,0.87,3.11%,3.50%,-0.30%,-9.30%,-14.20%,-24.07%,5.73%,-29.06%,5.73%,42.3,-1.05%,0.18%,2.5,992.48,0.68,21.77,-0.87%,399297,7/31/2014 16:30
BBGI,Beasley Broadcast Group Inc.,Services,Broadcasting - Radio,USA,141.43,13.3,,0.46,1.37,1.46,11.69,14.89,2.94%,29.30%,0.46,6.30%,,19.00%,29.00%,-2.90%,30.00%,-3.70%,23.11,4.58,11.10%,4.52%,59.70%,-0.77%,0.21%,0.48,4.00%,11.30%,9.30%,2.4,2.4,1.01,1.07,35.00%,23.90%,10.20%,1.66%,0.00%,-3.01%,-32.45%,-18.51%,-28.92%,1.55,0.29,3.04%,4.70%,0.11%,-3.47%,-20.98%,-18.18%,15.25%,-35.47%,15.25%,43.57,0.00%,0.00%,3,20.49,0.07,6.12,0.00%,0,7/25/2014 8:30
BBH,Market Vectors Biotech ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57%,10.07%,15.26%,3.59%,35.46%,20.89%,,1.52,1.12%,1.40%,4.07%,7.90%,13.95%,-1.28%,16.59%,-1.28%,43.56%,71.49,-0.59%,0.23%,,81.47,0.43,106.62,-0.36%,20888,
BBK,BlackRock Municipal Bond Trust,Financial,Closed-End Fund - Debt,USA,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,0.78%,1.24%,1.63%,8.96%,24.08%,18.51%,,0.07,0.40%,0.39%,0.51%,0.61%,7.67%,-0.45%,2.50%,-0.45%,25.99%,58.14,-0.26%,0.26%,,16.56,1.98,15.56,0.00%,19400,
BBL,BHP Billiton plc,Basic Materials,Industrial Metals & Minerals,United Kingdom,173514.41,12.02,16.27,2.15,2.58,2.09,19.71,76.57,3.79%,25.70%,5.18,23.30%,10.23%,19.70%,5.60%,6.00%,5.40%,0.80%,2787.38,2659.25,,,1.30%,0.01%,0.09%,4.95,17.40%,34.20%,14.40%,1.2,0.9,0.38,0.44,,32.40%,37.30%,-1.52%,-7.37%,1.07%,0.84%,9.21%,4.11%,1.65,1.03,0.87%,1.03%,-4.17%,-5.73%,0.79%,-11.20%,1.13%,-11.20%,14.90%,35.76,-0.72%,0.64%,1,474.05,1.96,62.2,-0.08%,549457,
BBLU,Blue Earth Inc.,Industrial Goods,Pollution & Treatment Controls,USA,220.68,,,,20.62,2.29,44.14,,,,-0.74,-44.40%,,-37.30%,,,-11.10%,45.50%,73.56,58.49,4.00%,2.33%,0.40%,23.51%,,,-48.20%,-52.90%,-30.60%,2.5,2.5,0,0.01,34.60%,,,-3.23%,29.87%,24.48%,-1.32%,-13.29%,10.29%,-0.41,0.16,6.00%,5.62%,8.10%,16.99%,12.88%,-5.31%,42.92%,-16.99%,73.14%,61.32,-0.66%,1.67%,,177.65,0.61,3.03,1.00%,63734,
BBNK,Bridge Capital Holdings,Financial,Regional - Pacific Banks,USA,349.93,19.51,16.48,1.95,4.62,1.88,3,,,0.00%,1.13,5.40%,19.15%,23.20%,10.00%,3.80%,125.00%,15.10%,15.87,9.83,3.80%,-0.33%,45.10%,4.24%,2.41%,12.11,1.10%,10.50%,29.00%,,,0.1,0.1,,40.20%,23.00%,-0.99%,2.46%,-2.82%,-4.34%,34.94%,7.35%,0.63,0.47,2.04%,2.29%,0.49%,-1.43%,0.69%,-11.35%,27.84%,-11.35%,41.22%,47.69,0.95%,0.05%,2.5,19.54,0.12,22.27,1.00%,1329,7/24/2014
BBOX,Black Box Corporation,Technology,Networking & Communication Devices,USA,364.8,,8.7,,0.38,1.04,13.12,21.59,1.70%,,-7.67,-523.70%,22.17%,-37.00%,10.00%,-0.60%,-41.90%,-0.70%,15.53,15.21,1.90%,24.99%,96.80%,-1.09%,2.82%,5.46,-15.10%,-28.30%,-21.50%,2.1,1.8,0.48,0.48,31.10%,4.50%,-12.20%,1.08%,14.87%,2.76%,-12.02%,-12.77%,-20.53%,1.44,0.77,2.35%,3.48%,7.82%,7.51%,-2.43%,-2.70%,18.75%,-23.78%,23.67%,66.06,0.89%,0.47%,2,78.64,0.59,23.81,1.36%,27331,7/29/2014 16:30
BBRC,EGShares Beyond BRICs ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65%,1.53%,4.78%,13.87%,25.01%,12.98%,,0.2,0.49%,0.64%,1.88%,2.78%,9.39%,0.21%,6.62%,0.21%,25.65%,64.24,-0.09%,0.60%,,99.35,2.82,23.36,0.52%,165659,
BBRG,"Bravo Brio Restaurant Group, Inc.",Services,Restaurants,USA,273.51,46.39,18,3.87,0.67,2.61,47.16,15.45,,0.00%,0.31,-52.60%,12.54%,16.00%,12.00%,6.40%,-9.10%,-1.00%,19.02,17.77,5.70%,-13.62%,86.10%,0.53%,4.65%,7.39,2.60%,6.10%,7.30%,0.4,0.3,0.05,0.1,74.30%,5.10%,1.60%,-0.76%,5.04%,-8.41%,-5.33%,-4.89%,-11.62%,1.58,0.34,1.92%,2.29%,0.29%,-3.63%,-5.46%,-11.44%,7.10%,-15.47%,7.10%,44.83,0.63%,0.07%,2.7,111.77,0.55,14.48,0.70%,36640,7/31/2014 16:30
BBRY,Research In Motion Limited,Technology,Diversified Communication Services,Canada,5629.48,,,,0.45,0.59,2.06,6.82,,,-1.62,-64.95%,63.60%,14.99%,5.00%,43.43%,-94.72%,-47.21%,524.16,425.06,15.01%,,60.57%,0.16%,31.79%,8.55,-6.35%,-8.67%,-8.45%,2.23,2.08,0,0,30.68%,-10.85%,-6.73%,6.76%,17.38%,40.39%,6.34%,5.19%,44.35%,1.64,0.32,3.15%,2.69%,7.90%,5.46%,23.50%,-8.76%,22.04%,-8.76%,95.40%,61.08,-2.48%,1.49%,3.4,15800.16,0.65,10.63,-1.02%,6051029,6/19/2014 8:30
BBSI,Barrett Business Services Inc.,Services,Staffing & Outsourcing Services,USA,425.63,24.3,15.6,0.97,0.74,5.77,5.33,8.11,1.21%,26.20%,2.44,44.90%,22.58%,35.00%,25.00%,13.70%,22.50%,17.30%,7.18,7.03,1.60%,15.02%,85.20%,-5.53%,5.96%,5.44,5.70%,25.90%,22.30%,1.2,1.2,0.07,0.07,16.20%,4.40%,3.20%,-5.48%,7.14%,33.54%,-15.64%,-6.85%,-35.45%,1.12,2.09,2.58%,3.20%,1.84%,9.15%,-6.57%,-5.36%,34.45%,-40.67%,44.11%,55.44,0.87%,0.42%,1.7,77.08,0.55,60.05,1.30%,24861,7/29/2014 16:30
BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,27005.84,15.7,11.94,2.42,4.29,1.27,9.43,8.37,2.56%,38.30%,2.39,-19.30%,12.89%,-4.30%,6.50%,-2.00%,-24.70%,-6.50%,719.58,716.77,0.20%,-2.04%,60.00%,-1.05%,1.33%,2.92,0.90%,8.50%,8.70%,,,1.03,1.03,,57.80%,27.50%,0.08%,2.54%,-0.98%,-0.98%,13.93%,2.51%,1.05,0.39,0.98%,0.98%,2.80%,0.23%,1.39%,-5.37%,5.42%,-6.69%,18.85%,58.76,0.65%,0.08%,2.4,3251.89,0.75,37.81,0.73%,1449753,7/21/2014 8:30
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Foreign Regional Banks,Spain,73064.77,620,14.09,88.57,2.38,1.23,0.5,,2.74%,431.70%,0.02,-76.50%,43.32%,-43.70%,7.00%,-5.30%,23.10%,-2.10%,5892.32,5333.02,,,1.10%,-37.44%,0.08%,3.28,0.10%,1.50%,7.00%,,,1.71,1.71,,97.60%,2.90%,1.14%,1.89%,-2.21%,0.73%,31.91%,2.99%,1.7,0.2,0.89%,1.21%,5.98%,3.02%,4.54%,-3.21%,10.29%,-6.22%,35.32%,64.02,0.88%,1.13%,4,1229.18,1.45,12.65,2.02%,1055209,2/2/2011
BBW,Build-A-Bear Workshop Inc.,Services,Toy & Hobby Stores,USA,232.41,46.14,22.01,1.54,0.63,2.6,5.56,,,0.00%,0.29,95.70%,29.91%,-20.50%,30.00%,-4.10%,34.20%,-7.00%,17.37,14.6,5.60%,-35.27%,59.40%,19.98%,6.86%,5.69,2.60%,5.50%,-2.70%,1.5,0.9,0,0,42.80%,1.50%,1.30%,-1.25%,21.86%,-4.36%,49.16%,88.72%,77.22%,1.41,0.5,3.69%,4.30%,11.46%,11.63%,25.60%,-2.95%,33.86%,-12.64%,95.93%,64.82,0.37%,0.37%,2.3,175.89,0.97,13.48,0.75%,100687,7/24/2014 8:30
BBX,BBX Capital Corporation,Financial,Property Management,USA,327.28,5.99,,2,5.1,0.99,1.45,,,0.00%,3.16,848.40%,,-45.23%,3.00%,-9.80%,119.50%,210.30%,17.28,9.98,5.30%,-16.43%,14.20%,-14.56%,2.81%,6.68,13.10%,20.20%,20.60%,,,0.25,0.28,,96.70%,86.90%,0.53%,2.27%,-0.05%,-6.56%,46.37%,21.41%,1.72,0.46,2.12%,2.57%,1.02%,2.16%,7.78%,-4.99%,8.87%,-15.91%,50.80%,55.2,-0.45%,0.53%,5,41.96,0.82,18.95,0.08%,20279,5/12/2014
BBY,"Best Buy Co., Inc.",Services,Electronics Stores,USA,10893.02,11.52,12.05,0.71,0.26,2.41,3.54,13.24,2.43%,20.70%,2.71,242.40%,12.79%,-3.70%,16.34%,-1.20%,-40.60%,-4.00%,348.8,285.08,0.40%,17.42%,77.30%,0.50%,9.75%,6.21,7.90%,27.30%,13.10%,1.5,0.7,0.35,0.36,21.30%,2.00%,2.70%,4.80%,5.15%,10.04%,23.83%,-13.78%,-20.72%,1.88,0.95,3.61%,2.81%,5.68%,5.57%,8.14%,-1.56%,12.14%,-26.61%,47.37%,58.18,3.23%,0.00%,2.2,4475.08,1.35,32.24,3.23%,3578493,8/26/2014 8:30
BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other",USA,4019.35,5.2,15.13,0.43,1.03,3.41,12,,1.16%,3.50%,8.32,416.30%,22.76%,23.90%,12.00%,-3.80%,9.40%,3.80%,92.89,91.72,1.10%,-2.20%,99.90%,1.24%,4.42%,4.83,27.70%,87.00%,54.50%,1.9,1.1,0.38,0.39,26.60%,8.50%,20.10%,2.44%,7.66%,3.10%,-4.78%,19.07%,-5.34%,2.92,0.84,1.93%,1.83%,4.38%,5.15%,1.91%,-1.05%,11.96%,-7.80%,20.45%,62.99,1.10%,-0.02%,1.6,839.37,0.67,43.74,1.07%,329899,7/24/2014 8:30
BCA,CorpBanca,Financial,Foreign Regional Banks,Chile,4431.36,13.02,,,3.41,1.63,,,2.25%,,1.5,-100.00%,,6.78%,,,49.30%,53.90%,226.9,80.39,,,,,0.15%,1.45,,,,,,,,,,,7.84%,9.23%,8.56%,15.15%,33.13%,-3.94%,,0.43,2.68%,2.30%,8.64%,8.24%,9.47%,0.66%,15.38%,-7.98%,34.59%,78.39,0.71%,0.31%,2.5,85.17,1.62,19.73,1.02%,81380,3/4/2011
BCBP,BCB Bancorp Inc.,Financial,Regional - Northeast Banks,USA,108.94,12.62,,,1.86,1.06,3.15,,4.31%,48.50%,1.03,556.50%,,7.20%,,9.40%,0.00%,4.20%,8.38,6.68,12.80%,3.77%,7.10%,5.68%,0.27%,5.48,0.70%,8.50%,17.50%,,,1.11,1.11,,35.60%,14.50%,0.70%,-0.91%,-3.13%,-0.54%,25.60%,-0.31%,0.53,0.13,0.43%,0.88%,0.19%,-0.54%,0.26%,-4.40%,1.09%,-8.79%,27.33%,49.59,-1.14%,1.15%,,3.28,0.65,13,0.00%,1252,11/16/2012
BCC,Boise Cascade Company,Industrial Goods,"Lumber, Wood Production",USA,1185.45,20.74,12.16,1.21,0.35,2.44,9.13,21.55,,0.00%,1.45,107.90%,38.99%,0.00%,17.17%,1.90%,179.20%,12.80%,39.41,38.7,0.70%,-98.23%,96.50%,1.51%,2.55%,2.57,4.90%,13.00%,18.20%,2.6,1.2,0.62,0.62,13.40%,3.30%,1.70%,-1.25%,2.91%,15.34%,4.95%,31.30%,2.04%,,0.62,2.02%,1.96%,2.72%,6.42%,8.84%,-2.06%,18.43%,-4.39%,34.24%,60.59,-0.16%,1.43%,1.8,383.32,0.52,30.46,1.26%,116625,7/24/2014 8:30
BCE,BCE Inc.,Technology,Telecom Services - Domestic,Canada,35219.15,18.63,15.22,6.65,1.84,3.45,257.26,43.85,5.01%,91.60%,2.43,-19.70%,3.66%,17.60%,2.80%,2.90%,6.00%,4.40%,777.98,777.76,,,52.90%,-0.52%,0.97%,11.28,4.60%,18.00%,10.70%,0.6,0.5,1.44,1.69,70.80%,23.00%,9.80%,1.59%,0.60%,-1.65%,6.07%,10.47%,7.25%,0.49,0.37,0.72%,0.83%,1.86%,0.69%,4.47%,-2.43%,3.66%,-2.43%,14.60%,63.26,-0.24%,0.46%,2.7,665.38,0.75,45.37,0.22%,295186,2/10/2011
BCEI,"Bonanza Creek Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,2481.79,35.38,18.19,1.01,5.27,3.55,18.9,7.66,,0.00%,1.7,53.60%,44.60%,-14.30%,35.00%,64.40%,-14.30%,62.70%,41.26,40.15,0.30%,8.79%,97.40%,-0.15%,10.92%,5.64,5.90%,13.00%,8.90%,1,1,0.76,0.76,88.60%,40.00%,17.70%,1.02%,1.57%,10.00%,17.25%,47.46%,38.37%,,2.21,3.47%,3.80%,0.36%,0.30%,17.52%,-6.87%,8.97%,-6.94%,55.32%,50.27,-2.66%,0.03%,2,777.53,0.59,58.57,-2.63%,272266,8/7/2014 16:30
BCF,Blackrock Real Asset Equity Tru,Financial,Closed-End Fund - Equity,USA,529.97,9.46,,,38.68,0.89,,18.03,7.55%,,0.98,126.30%,,15.00%,,-10.70%,200.00%,-11.10%,57.17,57.15,,,34.20%,-2.68%,0.08%,0.24,0.30%,0.40%,1.10%,,,0,0,52.60%,49.60%,15.30%,0.00%,1.31%,1.76%,8.17%,12.77%,10.62%,1.24,0.09,0.59%,0.87%,0.17%,-0.80%,5.32%,-2.94%,3.12%,-2.94%,16.20%,47.24,2.66%,-2.80%,,200.12,1.21,9.25,-0.22%,143315,
BCH,Banco de Chile,Financial,Foreign Regional Banks,Chile,11886.04,11.26,11.66,1.51,3.44,2.83,3.23,,3.86%,111.50%,6.68,10.20%,1.77%,9.70%,7.47%,1.30%,32.60%,39.50%,158.08,25.62,,,1.90%,-5.33%,0.18%,1.09,2.40%,26.60%,9.60%,,,2.42,2.42,,63.60%,30.70%,2.86%,-0.05%,-4.91%,7.14%,-3.94%,-8.06%,1.04,1.16,1.73%,1.46%,-0.48%,-3.09%,-2.44%,-8.63%,2.03%,-17.36%,12.98%,43.26,-0.99%,-0.60%,2.8,41.69,0.67,74,-1.58%,16573,2/2/2011 16:30
BCHP,EGShares Blue Chip ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20%,1.80%,0.10%,,,1.54%,,0.1,0.28%,0.26%,1.40%,0.16%,0.52%,-2.62%,3.59%,-2.62%,3.59%,55.84,0.10%,0.20%,,6.54,0.68,20.47,0.29%,2637,
BCM,iPath Pure Beta Broad Commodity ETN,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33%,-2.52%,-3.75%,-5.29%,-7.01%,-1.21%,,0.19,0.59%,0.19%,-1.00%,-3.09%,-3.23%,-7.42%,0.21%,-7.42%,1.99%,29.21,0.00%,0.00%,,4.43,0.41,39.03,0.00%,0,
BCO,The Brink's Company,Services,Security & Protection Services,USA,1329.85,,13.69,,0.34,2.05,5.92,41.17,1.46%,266.70%,-0.02,-35.80%,11.11%,-12.20%,12.00%,4.50%,-81.50%,-7.10%,48.57,48.12,0.50%,-6.90%,96.70%,2.66%,8.29%,7.87,0.30%,1.30%,10.60%,1.3,1.3,0.63,0.81,19.20%,4.80%,0.20%,-0.94%,2.55%,2.01%,-8.40%,5.80%,-19.26%,1.64,0.41,1.61%,1.43%,1.66%,1.35%,-5.56%,-3.93%,5.35%,-22.31%,14.10%,56.98,0.66%,0.04%,2,507.09,0.4,27.57,0.69%,120494,7/24/2014 8:30
